id,name,diameter_min_km,is_potentially_hazardous_asteroid,orbits,miss_distance_kilometers,date
3837557,(2019 AN),0.0384197891,False,[<models.OrbitPath object at 0x7f28126fc358>],19108365.537910875,2019-Jan-01 07:58
3837538,(2018 YV2),0.0384197891,False,[<models.OrbitPath object at 0x7f28126fc550>],10220722.30201183,2019-Jan-01 18:32
3771017,(2017 EV2),0.1838886721,False,[<models.OrbitPath object at 0x7f28126fc5f8>],70335665.49439283,2019-Jan-01 15:36
3837589,(2019 AO2),0.0384197891,False,[<models.OrbitPath object at 0x7f28126fc6a0>],30334082.201681495,2019-Jan-01 18:38
3827572,(2018 RL4),0.0699125232,False,[<models.OrbitPath object at 0x7f28126fc748>],57213293.89759878,2019-Jan-01 15:09
3836889,(2018 XB4),0.0421264611,False,[<models.OrbitPath object at 0x7f28126fc7f0>],15971072.819859933,2019-Jan-01 19:21
2539856,539856 (2017 EV2),0.1756123185,False,[<models.OrbitPath object at 0x7f28126fc940>],70335665.49439283,2019-Jan-01 15:36
3837786,(2019 AN8),0.0242412481,False,[<models.OrbitPath object at 0x7f28126f3be0>],4382853.679221438,2019-Jan-02 06:39
3837744,(2019 AO7),0.0732073989,False,[<models.OrbitPath object at 0x7f28126f3d30>],10565236.188524326,2019-Jan-02 20:03
3837683,(2019 AQ5),0.022108281,False,[<models.OrbitPath object at 0x7f28126f3dd8>],4617883.407148067,2019-Jan-02 00:09
3837684,(2019 AR5),0.1160259082,False,[<models.OrbitPath object at 0x7f28126f3e80>],15056535.562797453,2019-Jan-02 20:09
3796290,(2017 YQ8),0.0319561887,False,[<models.OrbitPath object at 0x7f28126f3f28>],8281162.161320074,2019-Jan-02 02:43
3837537,(2018 YW2),0.04411182,False,[<models.OrbitPath object at 0x7f28126f3fd0>],8408254.662395356,2019-Jan-02 01:03
2459458,459458 (2012 XR134),0.5303407233,False,[<models.OrbitPath object at 0x7f28126f3eb8>],39312472.2385521,2019-Jan-02 09:59
3079950,(2001 OT),0.1272198785,False,[<models.OrbitPath object at 0x7f28126f3f60>],51118661.26521817,2019-Jan-02 10:15
3313739,(2006 BA9),0.0766575574,False,[<models.OrbitPath object at 0x7f28126f7208>],34947590.99311609,2019-Jan-02 23:05
3407944,(2008 GD),0.2914439045,False,[<models.OrbitPath object at 0x7f28126f72b0>],59204319.400637925,2019-Jan-02 21:55
3607626,(2012 PK24),0.046190746,False,[<models.OrbitPath object at 0x7f28126f7358>],27179532.711095423,2019-Jan-02 17:58
3621604,(2012 YK),0.0667659413,False,[<models.OrbitPath object at 0x7f28126f7400>],16961872.123970374,2019-Jan-02 01:55
3655449,(2013 YZ13),0.3195618867,False,[<models.OrbitPath object at 0x7f28126f74a8>],73074559.78650853,2019-Jan-02 16:19
